SalePrice,1st_Flr_SF,2nd_Flr_SF,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,BsmtFin_SF_1,Total_Bsmt_SF,Gr_Liv_Area,TotRms_AbvGrd,Bsmt_Unf_SF,Full_Bath
215000,1656,0,31770,6,5,1960,1960,639,1080,1656,7,441,1
105000,896,0,11622,5,6,1961,1961,468,882,896,5,270,1
172000,1329,0,14267,6,6,1958,1958,923,1329,1329,6,406,1
244000,2110,0,11160,7,5,1968,1968,1065,2110,2110,8,1045,2
189900,928,701,13830,5,5,1997,1998,791,928,1629,6,137,2
195500,926,678,9978,6,6,1998,1998,602,926,1604,7,324,2
213500,1338,0,4920,8,5,2001,2001,616,1338,1338,6,722,2
191500,1280,0,5005,8,5,1992,1992,263,1280,1280,5,1017,2
236500,1616,0,5389,8,5,1995,1996,1180,1595,1616,5,415,2
189000,1028,776,7500,7,5,1999,1999,0,994,1804,7,994,2
175900,763,892,10000,6,5,1993,1994,0,763,1655,7,763,2
180400,789,676,8402,6,5,1998,1998,0,789,1465,7,789,2
171500,1341,0,10176,7,5,1990,1990,637,1300,1341,5,663,1
538000,1690,1589,53504,8,5,2003,2003,1416,1650,3279,12,234,3
164000,1080,672,12134,8,7,1988,2005,427,559,1752,8,132,2
394432,1856,0,11394,9,2,2010,2010,1445,1856,1856,8,411,1
141000,864,0,19138,4,5,1951,1951,120,864,864,4,744,1
210000,2073,0,13175,6,6,1978,1988,790,1542,2073,7,589,2
190000,1844,0,11751,6,6,1977,1977,705,1844,1844,7,1139,2
170000,1173,0,10625,7,6,1974,1974,885,1053,1173,6,0,2
142000,1056,0,8450,5,6,1968,1968,775,1056,1056,6,281,1
126000,882,0,8400,4,5,1970,1970,804,882,882,4,0,1
184000,1337,0,5858,7,5,1999,1999,1051,1405,1337,5,354,2
96000,483,504,1680,6,5,1971,1971,156,483,987,5,327,1
105500,525,567,1680,5,5,1971,1971,300,525,1092,6,225,1
88000,525,567,1680,6,5,1971,1971,0,525,1092,6,525,1
127500,1069,0,4043,6,5,1977,1977,360,1069,1069,4,709,2
149900,855,601,2280,6,6,1975,1975,514,855,1456,6,341,2
120000,836,0,2280,7,6,1975,1975,0,836,836,4,836,1
