SalePrice,1st_Flr_SF,2nd_Flr_SF,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,BsmtFin_SF_1,Total_Bsmt_SF,Gr_Liv_Area,TotRms_AbvGrd,Bsmt_Unf_SF,Full_Bath
215000,1656,0,31770,6,5,1960,1960,639,1080,1656,7,441,1
105000,896,0,11622,5,6,1961,1961,468,882,896,5,270,1
172000,1329,0,14267,6,6,1958,1958,923,1329,1329,6,406,1
244000,2110,0,11160,7,5,1968,1968,1065,2110,2110,8,1045,2
189900,928,701,13830,5,5,1997,1998,791,928,1629,6,137,2
195500,926,678,9978,6,6,1998,1998,602,926,1604,7,324,2
213500,1338,0,4920,8,5,2001,2001,616,1338,1338,6,722,2
191500,1280,0,5005,8,5,1992,1992,263,1280,1280,5,1017,2
236500,1616,0,5389,8,5,1995,1996,1180,1595,1616,5,415,2
189000,1028,776,7500,7,5,1999,1999,0,994,1804,7,994,2
175900,763,892,10000,6,5,1993,1994,0,763,1655,7,763,2
180400,789,676,8402,6,5,1998,1998,0,789,1465,7,789,2
171500,1341,0,10176,7,5,1990,1990,637,1300,1341,5,663,1
538000,1690,1589,53504,8,5,2003,2003,1416,1650,3279,12,234,3
164000,1080,672,12134,8,7,1988,2005,427,559,1752,8,132,2
394432,1856,0,11394,9,2,2010,2010,1445,1856,1856,8,411,1
141000,864,0,19138,4,5,1951,1951,120,864,864,4,744,1
210000,2073,0,13175,6,6,1978,1988,790,1542,2073,7,589,2
190000,1844,0,11751,6,6,1977,1977,705,1844,1844,7,1139,2
170000,1173,0,10625,7,6,1974,1974,885,1053,1173,6,0,2
142000,1056,0,8450,5,6,1968,1968,775,1056,1056,6,281,1
126000,882,0,8400,4,5,1970,1970,804,882,882,4,0,1
184000,1337,0,5858,7,5,1999,1999,1051,1405,1337,5,354,2
96000,483,504,1680,6,5,1971,1971,156,483,987,5,327,1
105500,525,567,1680,5,5,1971,1971,300,525,1092,6,225,1
88000,525,567,1680,6,5,1971,1971,0,525,1092,6,525,1
127500,1069,0,4043,6,5,1977,1977,360,1069,1069,4,709,2
149900,855,601,2280,6,6,1975,1975,514,855,1456,6,341,2
120000,836,0,2280,7,6,1975,1975,0,836,836,4,836,1
146000,855,601,2280,6,5,1978,1978,311,855,1456,7,544,2
376162,1627,707,12858,9,5,2009,2010,0,1590,2334,10,1590,2
306000,1704,0,11478,8,5,2007,2008,1218,1704,1704,7,486,2
395192,1940,0,10159,9,5,2009,2010,1646,1930,1940,8,284,2
290941,1544,0,12883,8,5,2009,2010,0,1544,1544,7,1544,2
220000,1541,0,12182,7,5,2005,2005,1201,1541,1541,7,340,2
275000,1698,0,11520,9,5,2005,2005,110,1698,1698,7,1588,2
259000,1822,0,14122,8,5,2005,2006,28,1822,1822,8,1794,2
214000,1535,0,10171,7,5,2004,2004,2,1517,1535,7,1515,2
611657,2364,0,12919,9,5,2009,2010,2188,2330,2364,11,142,2
224000,1358,0,6371,7,5,2009,2010,733,1358,1358,6,625,2
500000,2696,0,14300,9,5,2003,2004,1373,2846,2696,10,1473,2
320000,1687,563,13650,8,5,2002,2002,578,1671,2250,7,1093,2
319900,1752,0,7658,9,5,2005,2005,456,1752,1752,6,1296,2
205000,1370,0,7132,8,5,2006,2006,24,1370,1370,6,1346,2
175500,764,862,2628,7,5,2003,2003,0,764,1626,6,764,2
199500,1324,0,18494,6,5,2005,2005,0,1324,1324,6,1324,2
160000,1145,0,3203,7,5,2006,2006,16,1145,1145,6,1129,2
192000,1269,0,3182,8,5,2004,2005,24,1256,1269,6,1232,2
184500,744,630,13300,7,5,2004,2004,326,384,1374,7,58,2
185088,847,886,8577,7,5,2004,2004,0,847,1733,7,847,2
333168,1422,1177,14774,9,5,1999,1999,0,1393,2599,10,1393,2
355000,1645,830,17433,8,5,1998,1998,0,1629,2475,7,1629,2
260400,1720,0,10593,7,5,1996,1996,919,1720,1720,7,801,2
325000,1500,1122,12256,8,5,1994,1995,1032,1463,2622,9,431,2
290000,1164,1106,11764,8,7,1999,2007,524,1152,2270,9,628,2
221000,1195,644,16770,7,5,1998,1998,0,1195,1839,7,1195,2
410000,2053,1185,14720,8,5,1995,1996,816,2033,3238,9,1217,2
204500,1218,0,9215,7,5,2009,2010,0,1218,1218,4,1218,2
215200,764,783,8640,7,5,2009,2009,24,756,1547,7,732,2
262500,1566,0,9000,8,5,2008,2008,1078,1566,1566,7,488,2
254900,991,956,12552,7,5,2004,2005,222,991,1947,8,769,2
271500,1468,0,10440,6,5,2005,2005,1414,1468,1468,6,54,2
233000,956,1128,10142,7,5,2004,2004,656,956,2084,8,300,2
181000,831,828,11920,7,5,2004,2004,0,831,1659,8,831,2
143000,923,0,8012,6,5,1980,1980,543,923,923,5,261,2
189000,1055,790,11218,6,5,1992,1992,0,1055,1845,8,1055,2
99500,918,0,7892,6,5,1979,1979,0,918,918,5,918,2
125000,752,0,7175,6,5,1984,1984,623,744,752,4,0,1
152000,1097,0,9672,6,5,1984,1985,338,1040,1097,6,702,2
171000,888,676,8400,6,6,1980,1981,0,650,1564,7,650,2
67500,1012,0,9800,5,5,1920,1950,0,816,1012,5,816,1
112000,1318,584,8930,6,5,1978,1978,0,0,1902,8,0,2
148000,1155,0,11782,5,7,1961,1995,899,1109,1155,6,210,1
138500,894,0,8450,5,8,1965,2009,553,894,894,5,224,1
133000,1040,0,7500,5,5,1963,1963,824,1040,1040,5,216,1
169000,1494,0,15410,6,6,1974,2002,126,1208,1494,7,223,2
190000,1061,862,10186,7,5,1992,1992,674,750,1923,8,76,2
362500,1251,1098,13143,8,5,1993,1993,250,1231,2349,9,0,2
285000,1402,823,11134,8,5,1992,1993,1129,1390,2225,7,261,2
260000,1488,0,4835,7,5,2004,2005,1298,1488,1488,6,190,2
190000,840,840,3515,7,5,2004,2004,0,840,1680,3,840,2
155000,600,600,3215,7,5,2004,2004,280,600,1200,4,320,2
151000,600,600,3182,7,5,2004,2005,0,600,1200,4,600,2
149500,600,600,2544,7,5,2004,2005,368,600,1200,4,190,2
152000,600,636,2544,6,5,2005,2005,376,600,1236,4,224,2
155000,696,720,2572,7,5,1999,1999,604,696,1416,6,92,2
267916,1418,0,12853,8,5,2010,2010,1032,1642,1418,6,610,1
254000,975,873,7379,8,5,2000,2000,484,975,1848,7,491,2
155000,788,0,4420,8,5,1980,1980,728,728,788,3,0,1
206000,1226,0,3880,8,6,1978,1978,1052,1226,1226,4,174,1
230000,1492,0,8000,7,5,2002,2002,833,1492,1492,6,659,2
243500,1280,1215,10791,6,5,1993,1993,1137,1280,2495,9,143,2
196500,980,734,10421,7,5,1988,1988,394,980,1714,7,586,2
197500,1381,0,9360,6,7,1972,2006,982,1161,1381,5,179,1
171000,930,715,9600,6,6,1971,1971,329,715,1645,7,386,1
142250,1232,0,9600,5,5,1966,1966,698,1232,1232,6,534,1
159000,1209,0,9900,5,5,1966,1966,1059,1209,1209,6,150,1
178900,1510,0,9680,5,6,1967,1967,1010,1510,1510,6,500,2
